,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
0,Pulp Fiction,1994,"['Crime', 'Drama']",R,154,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",Quentin Tarantino,8.9,8000000,9311882,107928762,213928762,"['English', 'Spanish', 'French']","['Miramax', 'ABandApart', 'JerseyFilms']"
1,The Amazing Spider-Man 2,2014,"['Action', 'Adventure', 'Sci-Fi']",P,142,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']",Marc Webb,6.6,200000000,91608337,202853933,708982323,['English'],"['MarvelEnterprises', 'AviAradProductions', 'ColumbiaPicturesCorporation']"
2,The Shawshank Redemption,1994,[],R,142,[],NA,9.3,25000000,727326,28341469,58500000,['English'],['CastleRockEntertainment']
3,Star Wars: Episode IV - A New Hope,1977,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",P,121,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",George Lucas,8.6,11000000,1554475,322740140,775398007 25 November 2011,['English'],"['Lucasfilm', 'TwentiethCenturyFox']"
4,Back to the Future,1985,"['Adventure', 'Comedy', 'Sci-Fi']",NA,116,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",Robert Zemeckis,8.5,19000000,11332134,210609762,381109762,['English'],"['UniversalPictures', 'AmblinEntertainment', 'U-DriveProductions']"
5,The Breakfast Club,1985,"['Comedy', 'Drama']",NA, 97,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy']",John Hughes,7.9,1000000,5107599,45875171,51525171,['English'],"['UniversalPictures', 'A&M;Films', 'ChannelProductions']"
6,The Goonies,1985,[],NA,114,[],NA,7.8,19000000,9105913,61503218,NA,"['English', 'Spanish', 'Cantonese', 'Italian']","['WarnerBros.', 'AmblinEntertainment']"
7,The Silence of the Lambs,1991,"['Crime', 'Drama', 'Thriller']",NA,118,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",Jonathan Demme,8.6,19000000,13766814,130742922,272742922,['English'],"['StrongHeart/DemmeProduction', 'OrionPictures']"
8,Jurassic Park,1993,[],P,127,[],NA,8.1,63000000,50159460,402453882,1029153882,"['English', 'Spanish']","['UniversalPictures', 'AmblinEntertainment']"
9,The Lion King,1994,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",NA, 88,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",NA,8.5,45000000,1825849,312900000,987483777 12 November 2013,"['English', 'Swahili', 'Xhosa', 'Zulu']","['WaltDisneyPictures', 'WaltDisneyFeatureAnimation']"
